Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
阿鲁巴,ABW,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.75515747,94.55081177,99.8546524,101.8598022,92.63455963,96.87055206,98.31697083,102.5174789,105.0894089,102.4623795,96.05442047,99.17920685,,,106.4516068,105.8997116,,,,,,,,,
,AFE,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,37.43724823,38.16513062,39.12631989,39.97486877,40.71406937,42.07307816,43.43009186,45.87363052,46.71244812,48.31629181,49.22523117,50.346241,53.67660141,50.58481979,50.45972824,49.24763107,47.8259201,46.25574875,47.55992126,48.74192047,47.69887161,49.1685791,48.00696182,48.31211853,48.59495163,48.05268097,46.74779129,46.67588043,46.02756119,47.75889969,49.05957031,50.38732147,51.5182991,54.0191803,56.86605072,58.67433167,62.22687912,66.53466797,66.81195068,65.31461334,65.63485718,65.84580231,66.01973724,65.95654297,66.83603668,67.9153595,69.04547882,69.41217041,70.16403198,71.02718353,,
阿富汗,AFG,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,4.696129799,,,5.821760178,6.661290169,,9.442970276,13.98476982,,,12.91047955,12.11536026,,,,,,,,17.07204056,,,,,,,,,,,,,,,,,,,,,,,65.56761169,69.04192352,69.76660919,67.50279999,,,,
,AFW,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,44.67911148,44.68832016,44.49499893,45.1592598,45.76158142,46.27133942,47.28583145,47.46054077,47.96656036,48.53554916,48.78982162,48.99829865,49.17338181,49.27595901,49.69501114,49.90512085,49.76298141,49.57086945,49.79465103,49.84669113,50.1471405,50.28417969,50.35754013,50.24032974,50.91241837,50.96131897,51.39677811,51.71398926,52.36880112,53.04502106,53.42840958,54.0705719,54.36436081,56.40122986,58.9998703,56.65354156,55.36901093,58.24517822,59.67697906,61.25495148,63.10166168,63.10998917,63.69525909,64.74680328,65.38816833,64.94165802,65.23432922,65.35798645,65.72122955,66.34261322,65.39248657,
安哥拉,AGO,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5583992,36.45767975,36.21923828,35.86365128,,,,,,,,,,,,
阿尔巴尼亚,ALB,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.58026123,,,,99.15641022,100.2432938,,98.82829285,97.27410126,,,106.9230499,104.3110733,105.5010223,102.0746002,108.6384888,115.3150787,97.05339813,113.0200729,106.0988312,106.8610229,107.6160583,104.547821,97.6936264,97.353302,95.56638336,94.7844162,
安道尔共和国,AND,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.74923706,102.4242401,106.1946869,,,,,,,,,,65.67568207,68.60157776,64.20764923,66.09194946,62.35955048,61.99460983,61.64384079,60.09281158,,
阿拉伯联盟国家,ARB,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,38.69144821,38.43405914,38.12741089,39.05973053,39.88774109,42.15232086,43.87371826,45.6769104,44.57250977,41.92515945,45.97686005,49.10430908,50.3008194,51.65182114,53.78342819,57.35253143,57.09403992,57.22362137,58.31518936,58.85863113,60.52703857,61.03266907,62.02783966,62.45938873,63.4353981,64.69431305,66.02687073,67.07872772,68.45414734,69.84870911,70.04564667,71.31977081,72.50991058,73.98217773,75.68058014,76.39768982,75.26197052,77.1240387,78.51197052,77.60305786,78.50115967,79.03816986,80.06743622,77.99846649,77.83695984,77.55476379,77.52488708,77.7075882,78.7158432,79.20652008,80.31102753,80.43647766,80.5512619,
阿拉伯联合酋长国,ARE,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,31.48278046,43.24414825,50.24361038,56.52960968,58.10195923,63.16656113,67.43968964,72.16374207,81.61280823,84.10325623,84.19415283,79.28408813,82.81664276,80.96613312,75.59152985,79.70329285,86.01954651,92.09213257,92.1190033,91.06661224,91.95426941,91.44165039,87.97959137,86.6882782,86.70594788,91.74375916,95.12320709,97.54164124,97.47158051,95.58017731,95.71814728,97.33731079,97.55610657,97.0235672,,84.42256927,85.58159637,89.13111877,98.85787201,105.104248,112.5805511,120.7003098,,,,123.0452805,107.7781067,,,
阿根廷,ARG,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,73.10605621,75.09815979,,,,81.67282867,81.05715942,,,,,,,,,,,,,,,,,,,,94.69560242,94.98332977,103.8331375,100.8948212,100.9425201,100.5229034,103.2058334,100.6469421,98.80518341,95.7585907,96.67160034,99.47103119,103.0543365,103.5590286,103.731308,103.9200516,104.1178665,103.5876312,105.5988083,106.2967834,107.8207626,102.2299118,101.081398,101.146431,105.180069,106.3924179,,
